FISC_PERIOD,FISC_YEAR,REGION,OFFICE,TOWN,TTL_CPS_ACEPT_M,TTL_CPS_SUBS_M,TTL_ALLEGAT_M,TTL_ALLEGAT_SUBS_M,TTL_PHYS_ABUSE_M,TTL_EDUC_NEGLECT_M,TTL_EMOT_NEGLECT_M,TTL_HIGH_RISK_M,TTL_MEDI_NEGLECT_M,TTL_AT_RISK_M,TTL_PHYS_NEGLECT_M,TTL_SEX_ABUSE_M,SUBS_PHYS_ABUSE_M,SUBS_EDUC_NEGLECT_M,SUBS_EMOT_NEGLECT_M,SUBS_HIGH_RISK_M,SUBS_MEDI_NEGLECT_M,SUBS_AT_RISK_M,SUBS_PHYS_NEGLECT_M,SUBS_SEX_ABUSE_M,CHILDREN_SUBS,RATE_PHYS_ABUSE_M,RATE_EDUC_NEGLECT_M,RATE_EMOT_NEGLECT_M,RATE_HIGH_RISK_M,RATE_MEDI_NEGLECT_M,RATE_AT_RISK_M,RATE_PHYS_NEGLECT_M,RATE_SEX_ABUSE_M
07/01/2013 - 06/30/2014,2014,REGION 5,WATERBURY,OXFORD,47,<= 10,172,32,15,<= 10,42,-,-,-,97,<= 10,-,-,<= 10,-,-,-,23,-,<= 10,-,0 - 10 %,10 - 20 %,-,-,-,24%,0 - 10 %
07/01/2013 - 06/30/2014,2014,REGION 3,MIDDLETOWN,PORTLAND,38,<= 10,97,<= 10,<= 10,-,26,-,<= 10,-,56,<= 10,-,-,-,-,<= 10,-,<= 10,-,<= 10,0 - 10 %,-,-,-,20 - 30 %,-,10 - 20 %,0 - 10 %
07/01/2013 - 06/30/2014,2014,REGION 5,WATERBURY,WOODBURY,34,<= 10,89,13,12,-,15,-,-,-,55,<= 10,<= 10,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,30 - 40 %,-,-,-,10 - 20 %,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 5,WATERBURY,CHESHIRE,58,<= 10,116,<= 10,16,<= 10,21,-,<= 10,-,68,<= 10,-,<= 10,-,-,-,-,<= 10,-,<= 10,-,40 - 50 %,-,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 4,MANCHESTER,EAST WINDSOR,97,16,278,58,27,-,71,-,<= 10,-,170,<= 10,-,-,13,-,<= 10,-,44,-,19,-,-,31%,-,40 - 50 %,-,53%,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 3,NORWICH,LISBON,30,<= 10,100,35,<= 10,<= 10,15,-,-,-,74,-,<= 10,-,<= 10,-,-,-,28,-,<= 10,10 - 20 %,0 - 10 %,30 - 40 %,-,-,-,38%,-
07/01/2010 - 06/30/2011,2011,REGION 3,NORWICH,LEDYARD,76,<= 10,199,35,27,<= 10,38,-,<= 10,-,114,<= 10,-,-,<= 10,-,<= 10,-,27,<= 10,20,-,0 - 10 %,30 - 40 %,-,10 - 20 %,-,44%,30 - 40 %
07/01/2012 - 06/30/2013,2013,REGION 3,MIDDLETOWN,PORTLAND,44,<= 10,110,<= 10,11,<= 10,17,-,<= 10,-,76,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,-,0 - 10 %,0 - 10 %,-,0 - 10 %,-,10 - 20 %,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 2,MILFORD,NORTH HAVEN,91,<= 10,184,17,22,14,25,-,<= 10,-,107,<= 10,<= 10,<= 10,-,-,<= 10,-,<= 10,-,<= 10,0 - 10 %,30 - 40 %,-,-,40 - 50 %,-,0 - 10 %,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 6,NEW BRITAIN,BRISTOL,713,194,1877,439,210,36,372,-,24,-,1131,37,28,21,97,-,<= 10,-,267,<= 10,258,13%,58%,126%,-,20 - 30 %,-,24%,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 4,MANCHESTER,HEBRON,34,<= 10,107,20,<= 10,-,23,-,<= 10,-,70,<= 10,-,-,<= 10,-,-,-,17,-,<= 10,0 - 10 %,-,50 - 60 %,-,0 - 10 %,-,52%,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 5,TORRINGTON,HARTLAND,<= 10,<= 10,18,<= 10,<= 10,-,<= 10,-,-,-,<= 10,<= 10,<= 10,-,-,-,-,-,-,-,<= 10,90 - 100 %,-,0 - 10 %,-,-,-,0 - 10 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 4,MANCHESTER,HEBRON,34,<= 10,87,<= 10,19,-,<= 10,-,-,-,53,-,-,-,-,-,-,-,<= 10,-,<= 10,-,-,0 - 10 %,-,-,-,0 - 10 %,-
07/01/2010 - 06/30/2011,2011,REGION 3,MIDDLETOWN,MADISON,47,<= 10,116,18,17,-,24,-,<= 10,-,62,<= 10,-,-,<= 10,-,-,-,13,-,<= 10,-,-,20 - 30 %,-,0 - 10 %,-,21%,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 2,MILFORD,SHELTON,227,50,557,123,48,33,94,-,27,-,318,18,<= 10,17,16,-,<= 10,-,74,<= 10,73,0 - 10 %,52%,17%,-,10 - 20 %,-,23%,40 - 50 %
07/01/2014 - 06/30/2015,2015,REGION 3,NORWICH,FRANKLIN,13,<= 10,20,<= 10,<= 10,-,-,-,<= 10,-,12,<= 10,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,-,-,0 - 10 %,-,20 - 30 %,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 3,NORWICH,FRANKLIN,13,<= 10,25,<= 10,<= 10,-,<= 10,-,-,-,11,<= 10,-,-,<= 10,-,-,-,-,-,<= 10,0 - 10 %,-,140 - 150 %,-,-,-,-,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 4,MANCHESTER,SUFFIELD,59,<= 10,152,36,20,<= 10,33,-,<= 10,-,91,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,21,<= 10,13,20 - 30 %,90 - 100 %,60 - 70 %,-,90 - 100 %,-,59%,40 - 50 %
07/01/2010 - 06/30/2011,2011,REGION 5,DANBURY,SHERMAN,<= 10,<= 10,30,<= 10,<= 10,-,16,-,-,-,<= 10,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,10 - 20 %,-,-,-,0 - 10 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 5,TORRINGTON,LITCHFIELD,38,<= 10,93,<= 10,<= 10,-,16,-,<= 10,-,57,<= 10,-,-,-,-,<= 10,-,<= 10,<= 10,<= 10,0 - 10 %,-,-,-,90 - 100 %,-,10 - 20 %,40 - 50 %
07/01/2011 - 06/30/2012,2012,REGION 4,MANCHESTER,EAST WINDSOR,107,17,352,116,29,-,60,-,<= 10,-,236,14,<= 10,-,13,-,-,-,98,-,24,40 - 50 %,-,49%,-,0 - 10 %,-,71%,-
07/01/2011 - 06/30/2012,2012,REGION 4,MANCHESTER,STAFFORD,109,13,301,44,26,14,49,-,<= 10,-,191,13,-,<= 10,<= 10,-,-,-,22,<= 10,16,-,50 - 60 %,60 - 70 %,-,0 - 10 %,-,34%,10 - 20 %
07/01/2013 - 06/30/2014,2014,REGION 5,WATERBURY,MIDDLEBURY,27,<= 10,75,<= 10,17,<= 10,<= 10,-,<= 10,-,36,<= 10,-,-,-,-,<= 10,-,<= 10,-,<= 10,-,0 - 10 %,0 - 10 %,-,10 - 20 %,-,10 - 20 %,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 5,TORRINGTON,COLEBROOK,<= 10,<= 10,<= 10,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,-,-,90 - 100 %,-,-,-,90 - 100 %,0 - 10 %
07/01/2013 - 06/30/2014,2014,REGION 5,TORRINGTON,BARKHAMSTED,14,<= 10,33,<= 10,<= 10,-,<= 10,-,-,-,19,-,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,-,-,0 - 10 %,-
07/01/2013 - 06/30/2014,2014,REGION 3,NORWICH,FRANKLIN,12,<= 10,28,<= 10,<= 10,-,<= 10,-,<= 10,-,15,-,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,0 - 10 %,-,10 - 20 %,-
07/01/2015 - 06/30/2016,2016,REGION 4,MANCHESTER,SOMERS,45,<= 10,104,<= 10,11,<= 10,17,-,<= 10,-,67,<= 10,-,<= 10,<= 10,-,-,-,<= 10,-,<= 10,-,40 - 50 %,30 - 40 %,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 4,MANCHESTER,ANDOVER,17,-,35,-,<= 10,-,<= 10,-,<= 10,-,19,<= 10,-,-,-,-,-,-,-,-,-,0 - 10 %,-,0 - 10 %,-,0 - 10 %,-,-,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 5,TORRINGTON,BETHLEHEM,15,<= 10,58,13,<= 10,<= 10,12,-,<= 10,-,33,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,0 - 10 %,70 - 80 %,-,0 - 10 %,-,0 - 10 %,50 - 60 %
07/01/2015 - 06/30/2016,2016,REGION 5,TORRINGTON,MORRIS,<= 10,<= 10,24,11,<= 10,-,<= 10,-,-,-,20,-,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,60 - 70 %,-,-,-,40 - 50 %,-
07/01/2014 - 06/30/2015,2015,REGION 4,MANCHESTER,ANDOVER,23,<= 10,49,<= 10,<= 10,-,<= 10,-,-,-,30,-,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,-,-,0 - 10 %,-
07/01/2015 - 06/30/2016,2016,REGION 4,MANCHESTER,ANDOVER,12,-,33,-,<= 10,<= 10,<= 10,-,<= 10,-,18,-,-,-,-,-,-,-,-,-,-,0 - 10 %,0 - 10 %,0 - 10 %,-,0 - 10 %,-,-,-
07/01/2014 - 06/30/2015,2015,REGION 5,TORRINGTON,HARTLAND,<= 10,<= 10,48,<= 10,<= 10,-,<= 10,-,-,-,29,17,<= 10,-,-,-,-,-,<= 10,-,<= 10,90 - 100 %,-,0 - 10 %,-,-,-,0 - 10 %,-
07/01/2015 - 06/30/2016,2016,REGION 5,TORRINGTON,NORTH CANAAN,17,<= 10,54,20,<= 10,<= 10,19,-,-,-,25,-,<= 10,-,<= 10,-,-,-,<= 10,-,<= 10,70 - 80 %,0 - 10 %,40 - 50 %,-,-,-,60 - 70 %,-
07/01/2010 - 06/30/2011,2011,REGION 4,MANCHESTER,ANDOVER,17,<= 10,54,<= 10,<= 10,<= 10,13,-,-,-,27,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,0 - 10 %,10 - 20 %,-,-,-,0 - 10 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 5,WATERBURY,WATERBURY,1925,353,5146,1366,553,240,886,-,90,-,3144,113,51,102,332,-,20,-,803,38,510,9%,43%,37%,-,22%,-,26%,34%
07/01/2010 - 06/30/2011,2011,REGION 3,WILLIMANTIC,WOODSTOCK,31,<= 10,56,<= 10,13,<= 10,12,-,-,-,21,<= 10,<= 10,-,<= 10,-,-,-,<= 10,-,<= 10,40 - 50 %,0 - 10 %,0 - 10 %,-,-,-,0 - 10 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 1,NORWALK,DARIEN,55,<= 10,139,14,20,-,33,-,<= 10,-,82,<= 10,<= 10,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,10 - 20 %,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2011 - 06/30/2012,2012,OTHER,NULL,OTHER,261,44,640,109,66,12,95,-,18,-,410,16,<= 10,<= 10,16,-,<= 10,-,73,<= 10,66,10 - 20 %,100 - 110 %,114%,-,10 - 20 %,-,118%,20 - 30 %
07/01/2013 - 06/30/2014,2014,REGION 3,WILLIMANTIC,UNION,<= 10,-,<= 10,-,-,-,-,-,-,-,<= 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 - 10 %,-
07/01/2011 - 06/30/2012,2012,REGION 6,NEW BRITAIN,SIMSBURY,57,12,140,26,20,<= 10,37,-,<= 10,-,61,<= 10,<= 10,<= 10,<= 10,-,-,-,13,<= 10,20,0 - 10 %,10 - 20 %,20 - 30 %,-,0 - 10 %,-,60%,90 - 100 %
07/01/2015 - 06/30/2016,2016,REGION 6,MERIDEN,WALLINGFORD,273,24,600,55,83,27,79,-,<= 10,-,366,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,42,-,29,0 - 10 %,0 - 10 %,10 - 20 %,-,30 - 40 %,-,11%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 3,WILLIMANTIC,EASTFORD,11,<= 10,24,<= 10,<= 10,<= 10,<= 10,-,-,-,13,-,-,-,<= 10,-,-,-,-,-,<= 10,0 - 10 %,0 - 10 %,10 - 20 %,-,-,-,-,-
07/01/2014 - 06/30/2015,2015,REGION 3,MIDDLETOWN,MIDDLEFIELD,23,<= 10,80,<= 10,<= 10,-,24,-,-,-,46,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,10 - 20 %,-,-,-,10 - 20 %,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 5,WATERBURY,WOODBURY,31,<= 10,73,<= 10,<= 10,<= 10,11,-,<= 10,-,42,<= 10,<= 10,<= 10,-,-,-,-,<= 10,-,<= 10,40 - 50 %,60 - 70 %,-,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 3,NORWICH,COLCHESTER,71,12,185,38,14,<= 10,48,-,<= 10,-,105,<= 10,<= 10,<= 10,14,-,-,-,20,<= 10,16,0 - 10 %,60 - 70 %,29%,-,0 - 10 %,-,19%,90 - 100 %
07/01/2014 - 06/30/2015,2015,REGION 5,TORRINGTON,KENT,11,<= 10,21,<= 10,<= 10,-,<= 10,-,-,-,12,<= 10,-,-,-,-,-,-,-,-,<= 10,0 - 10 %,-,0 - 10 %,-,-,-,-,0 - 10 %
07/01/2013 - 06/30/2014,2014,REGION 3,WILLIMANTIC,CHAPLIN,22,<= 10,61,13,<= 10,<= 10,<= 10,-,<= 10,-,37,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,0 - 10 %,20 - 30 %,-,0 - 10 %,-,20 - 30 %,30 - 40 %
07/01/2011 - 06/30/2012,2012,REGION 3,MIDDLETOWN,CROMWELL,86,<= 10,173,11,28,<= 10,30,-,<= 10,-,101,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,-,0 - 10 %,0 - 10 %,-,0 - 10 %,-,0 - 10 %,20 - 30 %
07/01/2010 - 06/30/2011,2011,REGION 6,NEW BRITAIN,SIMSBURY,65,16,146,33,20,<= 10,21,-,<= 10,-,84,<= 10,<= 10,<= 10,<= 10,-,-,-,21,-,22,0 - 10 %,40 - 50 %,110 - 120 %,-,0 - 10 %,-,95%,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 3,NORWICH,WATERFORD,88,17,226,52,24,11,33,-,<= 10,-,145,<= 10,<= 10,<= 10,13,-,<= 10,-,29,-,21,40 - 50 %,80 - 90 %,43%,-,10 - 20 %,-,30%,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 4,MANCHESTER,SOMERS,45,<= 10,144,34,17,<= 10,27,-,<= 10,-,82,<= 10,<= 10,-,<= 10,-,-,-,21,-,11,10 - 20 %,0 - 10 %,30 - 40 %,-,0 - 10 %,-,27%,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 2,MILFORD,WOODBRIDGE,23,<= 10,56,16,<= 10,<= 10,11,-,<= 10,-,29,<= 10,-,<= 10,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,10 - 20 %,50 - 60 %,-,0 - 10 %,-,30 - 40 %,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 4,MANCHESTER,SUFFIELD,63,11,178,37,12,<= 10,25,-,<= 10,-,119,<= 10,-,<= 10,<= 10,-,-,-,25,-,19,-,60 - 70 %,0 - 10 %,-,0 - 10 %,-,36%,0 - 10 %
07/01/2013 - 06/30/2014,2014,REGION 2,MILFORD,NORTH BRANFORD,54,11,126,21,18,<= 10,21,-,<= 10,-,72,<= 10,-,<= 10,<= 10,-,-,-,<= 10,<= 10,13,-,70 - 80 %,60 - 70 %,-,0 - 10 %,-,30 - 40 %,90 - 100 %
07/01/2013 - 06/30/2014,2014,REGION 2,MILFORD,BETHANY,27,<= 10,61,<= 10,<= 10,<= 10,15,-,<= 10,-,32,<= 10,-,-,-,-,<= 10,-,-,-,<= 10,0 - 10 %,0 - 10 %,-,-,40 - 50 %,-,-,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 3,MIDDLETOWN,KILLINGWORTH,32,<= 10,97,15,15,<= 10,24,-,<= 10,-,44,<= 10,-,<= 10,<= 10,-,<= 10,-,<= 10,-,<= 10,-,90 - 100 %,20 - 30 %,-,30 - 40 %,-,0 - 10 %,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 5,DANBURY,REDDING,13,<= 10,45,<= 10,<= 10,-,13,-,-,-,31,-,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,90 - 100 %,-,-,-,0 - 10 %,-
07/01/2010 - 06/30/2011,2011,REGION 5,TORRINGTON,NEW HARTFORD,20,<= 10,33,<= 10,<= 10,<= 10,<= 10,-,-,-,20,<= 10,-,-,-,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,0 - 10 %,0 - 10 %,-,-,-,20 - 30 %,20 - 30 %
07/01/2010 - 06/30/2011,2011,REGION 5,TORRINGTON,WARREN,<= 10,<= 10,11,<= 10,<= 10,-,<= 10,-,-,-,<= 10,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,-,90 - 100 %,-,-,-,50 - 60 %,90 - 100 %
07/01/2013 - 06/30/2014,2014,REGION 3,NORWICH,VOLUNTOWN,24,<= 10,75,24,<= 10,<= 10,13,-,<= 10,-,43,-,-,<= 10,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,90 - 100 %,30 - 40 %,-,0 - 10 %,-,20 - 30 %,-
07/01/2012 - 06/30/2013,2013,REGION 5,WATERBURY,MIDDLEBURY,30,<= 10,68,<= 10,16,-,<= 10,-,<= 10,-,38,-,-,-,-,-,-,-,<= 10,-,<= 10,-,-,0 - 10 %,-,0 - 10 %,-,0 - 10 %,-
07/01/2014 - 06/30/2015,2015,REGION 3,NORWICH,SALEM,25,<= 10,69,16,<= 10,-,<= 10,-,-,-,53,-,-,-,-,-,-,-,16,-,<= 10,0 - 10 %,-,0 - 10 %,-,-,-,30%,-
07/01/2013 - 06/30/2014,2014,REGION 4,HARTFORD,WEST HARTFORD,244,33,551,83,67,15,87,-,16,-,330,<= 10,<= 10,-,14,-,<= 10,-,59,<= 10,43,0 - 10 %,-,17%,-,0 - 10 %,-,18%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 5,TORRINGTON,GOSHEN,18,<= 10,41,<= 10,<= 10,<= 10,<= 10,-,-,-,27,-,-,<= 10,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,90 - 100 %,40 - 50 %,-,-,-,0 - 10 %,-
07/01/2012 - 06/30/2013,2013,REGION 6,NEW BRITAIN,FARMINGTON,81,14,220,43,15,<= 10,53,-,<= 10,-,124,11,-,<= 10,<= 10,-,<= 10,-,20,<= 10,25,-,90 - 100 %,30 - 40 %,-,20 - 30 %,-,30%,50 - 60 %
07/01/2014 - 06/30/2015,2015,REGION 3,WILLIMANTIC,POMFRET,43,<= 10,100,29,<= 10,<= 10,22,-,<= 10,-,54,<= 10,<= 10,<= 10,11,-,-,-,11,<= 10,13,10 - 20 %,90 - 100 %,130%,-,0 - 10 %,-,73%,180 - 190 %
07/01/2014 - 06/30/2015,2015,REGION 3,WILLIMANTIC,SCOTLAND,<= 10,<= 10,17,<= 10,<= 10,-,<= 10,-,-,-,<= 10,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,-,90 - 100 %,-,-,-,30 - 40 %,90 - 100 %
07/01/2014 - 06/30/2015,2015,REGION 5,TORRINGTON,BARKHAMSTED,15,<= 10,29,<= 10,<= 10,-,<= 10,-,-,-,21,<= 10,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,-,-,40 - 50 %,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 3,NORWICH,PRESTON,23,<= 10,56,<= 10,<= 10,-,<= 10,-,<= 10,-,34,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,10 - 20 %,-,0 - 10 %,-,10 - 20 %,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 3,MIDDLETOWN,CROMWELL,81,<= 10,178,25,29,<= 10,27,-,<= 10,-,105,<= 10,-,-,<= 10,-,-,-,22,<= 10,<= 10,-,0 - 10 %,0 - 10 %,-,0 - 10 %,-,21%,20 - 30 %
07/01/2015 - 06/30/2016,2016,REGION 4,MANCHESTER,EAST GRANBY,23,<= 10,68,<= 10,<= 10,-,<= 10,-,<= 10,-,44,-,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,0 - 10 %,-,10 - 20 %,-
07/01/2014 - 06/30/2015,2015,REGION 2,MILFORD,BETHANY,21,<= 10,39,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,21,<= 10,-,<= 10,-,-,-,-,-,-,<= 10,0 - 10 %,90 - 100 %,0 - 10 %,-,0 - 10 %,-,-,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 5,TORRINGTON,NORTH CANAAN,<= 10,<= 10,20,<= 10,<= 10,-,11,-,-,-,<= 10,<= 10,<= 10,-,-,-,-,-,<= 10,-,<= 10,40 - 50 %,-,-,-,-,-,60 - 70 %,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 5,TORRINGTON,SALISBURY,<= 10,<= 10,35,<= 10,<= 10,-,11,-,-,-,22,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,70 - 80 %,-,-,-,20 - 30 %,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 3,NORWICH,STONINGTON,69,13,170,34,11,-,46,-,<= 10,-,105,<= 10,-,-,<= 10,-,-,-,29,<= 10,19,-,-,10 - 20 %,-,0 - 10 %,-,78%,90 - 100 %
07/01/2011 - 06/30/2012,2012,REGION 3,WILLIMANTIC,WINDHAM,424,111,1168,321,115,43,264,-,18,-,670,34,13,16,123,-,<= 10,-,156,<= 10,168,12%,37%,194%,-,10 - 20 %,-,95%,40 - 50 %
07/01/2014 - 06/30/2015,2015,REGION 3,WILLIMANTIC,PLAINFIELD,229,35,714,135,50,15,144,-,11,-,467,12,<= 10,<= 10,56,-,-,-,73,<= 10,51,10 - 20 %,10 - 20 %,190%,-,-,-,71%,10 - 20 %
07/01/2012 - 06/30/2013,2013,REGION 1,NORWALK,NEW CANAAN,48,<= 10,122,11,12,-,25,-,<= 10,-,78,<= 10,<= 10,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,-,0 - 10 %,-,0 - 10 %,-,0 - 10 %,30 - 40 %
07/01/2015 - 06/30/2016,2016,REGION 6,NEW BRITAIN,PLAINVILLE,128,20,289,36,25,12,41,-,<= 10,-,192,<= 10,<= 10,-,<= 10,-,-,-,25,<= 10,26,10 - 20 %,-,10 - 20 %,-,0 - 10 %,-,13%,40 - 50 %
07/01/2012 - 06/30/2013,2013,REGION 3,WILLIMANTIC,KILLINGLY,268,41,773,138,47,19,199,-,20,-,445,13,<= 10,<= 10,59,-,<= 10,-,70,<= 10,68,20 - 30 %,10 - 20 %,91%,-,0 - 10 %,-,52%,90 - 100 %
07/01/2013 - 06/30/2014,2014,REGION 5,TORRINGTON,WINCHESTER,152,26,434,72,23,<= 10,79,-,<= 10,-,287,<= 10,<= 10,<= 10,18,-,-,-,42,<= 10,36,10 - 20 %,40 - 50 %,23%,-,0 - 10 %,-,16%,20 - 30 %
07/01/2012 - 06/30/2013,2013,REGION 3,MIDDLETOWN,OLD SAYBROOK,55,<= 10,122,<= 10,<= 10,<= 10,26,-,<= 10,-,76,<= 10,<= 10,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,0 - 10 %,-,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 4,MANCHESTER,STAFFORD,146,25,497,131,48,<= 10,83,-,<= 10,-,314,<= 10,<= 10,<= 10,19,-,-,-,95,<= 10,39,0 - 10 %,120 - 130 %,47%,-,0 - 10 %,-,67%,80 - 90 %
07/01/2011 - 06/30/2012,2012,REGION 5,WATERBURY,CHESHIRE,72,<= 10,178,25,19,<= 10,47,-,-,-,93,<= 10,-,-,11,-,-,-,13,<= 10,<= 10,-,0 - 10 %,23%,-,-,-,14%,10 - 20 %
07/01/2011 - 06/30/2012,2012,REGION 3,WILLIMANTIC,WOODSTOCK,46,<= 10,142,21,14,<= 10,28,-,<= 10,-,79,<= 10,-,-,11,-,<= 10,-,<= 10,<= 10,<= 10,-,0 - 10 %,110%,-,30 - 40 %,-,0 - 10 %,20 - 30 %
07/01/2012 - 06/30/2013,2013,REGION 3,WILLIMANTIC,COLUMBIA,24,<= 10,54,<= 10,<= 10,-,<= 10,-,-,-,37,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,-,30 - 40 %,-,-,-,0 - 10 %,90 - 100 %
07/01/2013 - 06/30/2014,2014,REGION 3,MIDDLETOWN,WESTBROOK,42,<= 10,84,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,56,<= 10,<= 10,-,<= 10,-,-,-,<= 10,-,<= 10,10 - 20 %,0 - 10 %,10 - 20 %,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 4,MANCHESTER,EAST GRANBY,25,<= 10,47,<= 10,<= 10,-,<= 10,-,<= 10,-,27,<= 10,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,0 - 10 %,-,10 - 20 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 5,DANBURY,REDDING,20,<= 10,40,<= 10,<= 10,-,<= 10,-,-,-,26,<= 10,-,-,-,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,-,0 - 10 %,-,-,-,0 - 10 %,40 - 50 %
07/01/2014 - 06/30/2015,2015,REGION 5,TORRINGTON,WARREN,<= 10,-,<= 10,-,-,-,-,-,-,-,<= 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 - 10 %,-
07/01/2015 - 06/30/2016,2016,REGION 6,NEW BRITAIN,WETHERSFIELD,109,11,227,15,26,15,34,-,<= 10,-,139,<= 10,-,<= 10,<= 10,-,-,-,11,-,12,-,10 - 20 %,0 - 10 %,-,0 - 10 %,-,8%,0 - 10 %
07/01/2013 - 06/30/2014,2014,REGION 6,NEW BRITAIN,BURLINGTON,36,<= 10,84,<= 10,<= 10,<= 10,19,-,<= 10,-,54,<= 10,<= 10,-,-,-,-,-,<= 10,-,<= 10,10 - 20 %,0 - 10 %,-,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 1,NORWALK,DARIEN,31,<= 10,70,<= 10,<= 10,-,<= 10,-,<= 10,-,50,<= 10,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,0 - 10 %,-,0 - 10 %,0 - 10 %
